dataset,model,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric
Breast Cancer,Dict-Wisard,0.9536821404543808,0.01789154241227995,0.9536624554539538,0.0177165860597548,61675.666666666664,64519.67940395309,0.9536624554539538,0.0177165860597548,f1
Breast Cancer,KNN-10,0.933224654556746,0.023671509610991265,0.9325215509983062,0.024771570196358877,113565.6,110.90897168398794,0.9325215509983062,0.024771570196358877,f1
Breast Cancer,KNN-5,0.9314547430523211,0.02936708227284068,0.9307638734802332,0.03067692377801267,113565.6,110.90897168398794,0.9307638734802332,0.03067692377801267,f1
Breast Cancer,MLP-1L,0.9250840966723594,0.04197512087269446,0.9244593812353823,0.042355679674464644,83856.06666666667,755.9721261763224,0.9244593812353823,0.042355679674464644,f1
Breast Cancer,MLP-2L,0.9044920560989494,0.02936550334764936,0.9037241882827299,0.02997762769715475,325137.5333333333,385.8725034112972,0.9037241882827299,0.02997762769715475,f1
Breast Cancer,MLP-3L,0.9086787765874863,0.039625412030526136,0.9082283361920162,0.04056078338898737,567566.0,260.4160133325044,0.9082283361920162,0.04056078338898737,f1
Breast Cancer,Random Forest,0.9636702375407544,0.014144972187548056,0.9635151987653711,0.01443275387357746,313211.13333333336,20666.80413341377,0.9635151987653711,0.01443275387357746,f1
Breast Cancer,SVM-poly,0.9104176370128861,0.020761237096987184,0.9080530554251874,0.02198539094616541,29932.0,1533.7796451902732,0.9080530554251874,0.02198539094616541,f1
Breast Cancer,SVM-rbf,0.9174351808725353,0.01693330388882362,0.9154644644259566,0.01842339404216808,32895.0,1392.881904541803,0.9154644644259566,0.01842339404216808,f1
Dry Bean,Dict-Wisard,0.9027256139116275,0.004008054642655623,0.9027994049193138,0.00346084994997527,968603.5333333332,443718.5251202239,0.9027994049193138,0.00346084994997527,f1
Dry Bean,KNN-10,0.6444169095383895,0.10118250184679273,0.6377471636586879,0.100045474547426,1481601.8,60.821048987974756,0.6377471636586879,0.100045474547426,f1
Dry Bean,KNN-5,0.6562459069784887,0.10588596729694923,0.6526146533913346,0.10416657562754773,1481601.8,60.821048987974756,0.6526146533913346,0.10416657562754773,f1
Dry Bean,MLP-1L,0.4367393658342964,0.12677965011540251,0.3599089734872839,0.12717367138978988,63525.86666666666,247.8536306415987,0.3599089734872839,0.12717367138978988,f1
Dry Bean,MLP-2L,0.43982082583311455,0.06033530036684585,0.38037630445916754,0.05100190085026509,306616.93333333335,270.87526854828985,0.38037630445916754,0.05100190085026509,f1
Dry Bean,MLP-3L,0.4578420380843369,0.07653359014386169,0.40714948377634386,0.07436403308156078,549375.5333333333,215.61367200520036,0.40714948377634386,0.07436403308156078,f1
Dry Bean,Random Forest,0.8317431205533292,0.13153021877504947,0.8321631507615977,0.13084377538484643,14351944.2,174843.03062232718,0.8321631507615977,0.13084377538484643,f1
Dry Bean,SVM-poly,0.5709461109448644,0.09200329791013785,0.5581037375581466,0.08632771352883713,1498056.0,2803.0340704315386,0.5581037375581466,0.08632771352883713,f1
Dry Bean,SVM-rbf,0.5678626272024065,0.1055498787194154,0.5390648096870417,0.08879601386573235,1501511.0,2227.9317763342756,0.5390648096870417,0.08879601386573235,f1
Glass,Dict-Wisard,0.6841638981173864,0.05090156859225332,0.6333336959664475,0.04806204193759747,53000.86666666666,22996.499730756128,0.6333336959664475,0.04806204193759747,f1
Glass,KNN-10,0.6171650055370985,0.05350338778890712,0.5835231672235777,0.054888187086184786,29866.0,71.55417527999327,0.5835231672235777,0.054888187086184786,f1
Glass,KNN-5,0.6358803986710964,0.045346099000972744,0.6069871859356871,0.04108485394503961,29866.0,71.55417527999327,0.6069871859356871,0.04108485394503961,f1
Glass,MLP-1L,0.4942045035068291,0.11556861952072282,0.4028767915108976,0.1627376800572008,45611.8,1763.4082624281873,0.4028767915108976,0.1627376800572008,f1
Glass,MLP-2L,0.4706533776301218,0.150354403263741,0.4016063518143606,0.1617984446162104,288834.8,1557.868640161941,0.4016063518143606,0.1617984446162104,f1
Glass,MLP-3L,0.5564784053156145,0.10056657607910881,0.49174807539127896,0.13182210745207512,531695.3333333333,1049.6476657537223,0.49174807539127896,0.13182210745207512,f1
Glass,Random Forest,0.7945736434108527,0.040651505743029115,0.7806744670228797,0.04002632952745955,799870.5333333333,19967.59490830636,0.7806744670228797,0.04002632952745955,f1
Glass,SVM-poly,0.3551495016611296,0.01013152869234342,0.1862164415701289,0.00930961486496856,21343.6,63.53581667059944,0.1862164415701289,0.00930961486496856,f1
Glass,SVM-rbf,0.3551495016611296,0.01013152869234342,0.1862164415701289,0.00930961486496856,21389.0,82.02438661763951,0.1862164415701289,0.00930961486496856,f1
Image Segmentation,Dict-Wisard,0.8555555555555555,0.018098022620621202,0.852559286340799,0.022324203688907803,142505.2,46475.54460777073,0.8555555555555555,0.018098022620621202,accuracy
Image Segmentation,KNN-10,0.6047619047619047,0.26384562242276327,0.6100600193457336,0.25418276747189267,27584.0,0.0,0.6047619047619047,0.26384562242276327,accuracy
Image Segmentation,KNN-5,0.6,0.24420726485634453,0.5994843065431301,0.24333466915435278,27584.0,0.0,0.6,0.24420726485634453,accuracy
Image Segmentation,MLP-1L,0.6428571428571429,0.2613630761916685,0.6390615733472876,0.2608326654610155,73339.4,0.5477225575061624,0.6428571428571429,0.2613630761916685,accuracy
Image Segmentation,MLP-2L,0.6396825396825397,0.27167908239230315,0.6418622647194075,0.26262746960057465,315963.8,0.4472135955048388,0.6396825396825397,0.27167908239230315,accuracy
Image Segmentation,MLP-3L,0.6460317460317461,0.26516726990329476,0.6452596609739467,0.2537916070869883,558596.2,0.44721359548856926,0.6460317460317461,0.26516726990329476,accuracy
Image Segmentation,Random Forest,0.7285714285714285,0.29383306226618816,0.7228485799914371,0.3004547179350902,517000.6,25632.68882306342,0.7285714285714285,0.29383306226618816,accuracy
Image Segmentation,SVM-poly,0.5571428571428572,0.2330416057760411,0.5317445364046522,0.22003532081386618,25684.4,569.7409937857727,0.5571428571428572,0.2330416057760411,accuracy
Image Segmentation,SVM-rbf,0.5761904761904761,0.23714094472359498,0.5639200398598895,0.24248841089845175,29885.8,364.9262939279656,0.5761904761904761,0.23714094472359498,accuracy
Iris,Dict-Wisard,0.9800000000000001,0.027666443551086096,0.9799832915622388,0.027665336362397604,2949.1333333333337,3307.9762578081213,0.9800000000000001,0.027666443551086096,accuracy
Iris,KNN-10,0.9533333333333334,0.04472135954999581,0.9527382951423873,0.045487475414486236,11103.0,0.0,0.9533333333333334,0.04472135954999581,accuracy
Iris,KNN-5,0.9466666666666667,0.03800584750330463,0.946330472646262,0.038190817625060845,11103.0,0.0,0.9466666666666667,0.03800584750330463,accuracy
Iris,MLP-1L,0.9800000000000001,0.02981423969999722,0.9798486114275586,0.030087289392862204,27602.533333333333,0.5055250296034867,0.9800000000000001,0.02981423969999722,accuracy
Iris,MLP-2L,0.9800000000000001,0.02981423969999722,0.9798486114275586,0.030087289392862204,270235.8,0.4472135955048388,0.9800000000000001,0.02981423969999722,accuracy
Iris,MLP-3L,0.9666666666666668,0.02357022603955161,0.9664818612187032,0.02380871290903722,512675.6,430.40584207102853,0.9666666666666668,0.02357022603955161,accuracy
Iris,Random Forest,0.9466666666666667,0.05055250296034368,0.9464985696564643,0.05058117817539896,159934.46666666667,13085.733844746943,0.9466666666666667,0.05055250296034368,accuracy
Iris,SVM-poly,0.96,0.04346134936801768,0.9597984861142755,0.04364845865682279,2187.0,73.53910524340091,0.96,0.04346134936801768,accuracy
Iris,SVM-rbf,0.9533333333333334,0.02981423969999726,0.9530472646262119,0.030032085165000416,3985.2,130.51896413931578,0.9533333333333334,0.02981423969999726,accuracy
Letter,Dict-Wisard,0.8738833333333333,0.029053745694641347,0.8750874781562846,0.028601026302131564,7193661.866666667,4057207.8151356797,0.8738833333333333,0.029053745694641347,accuracy
Letter,KNN-10,0.94375,0.0037790541144577033,0.9437490535610632,0.0037627157050888435,2176877.0,0.0,0.94375,0.0037790541144577033,accuracy
Letter,KNN-5,0.9519500000000001,0.0031394665151901107,0.9519247417784659,0.0031583472215180298,2176877.0,0.0,0.9519500000000001,0.0031394665151901107,accuracy
Letter,MLP-1L,0.9245000000000001,0.002563770010485861,0.9246068637607371,0.0026811112729622968,112350.66666666667,0.23570226039980324,0.9245000000000001,0.002563770010485861,accuracy
